"Sikkim Manipal Univ. of Health,Medical & Tech. ScsSikkim•State Private University"

"The Tamilnadu Dr. MGR Medical University,ChennaiTamil Nadu•State Govt University"

"Sri Ramachandra Institute of Higher Education & Research(Deemed to be University), ChennaiTamil Nadu•Deemed to be University"

Vinayaka Mission's Research Foundation (Deemed To Be University)Tamil Nadu•Deemed to be University

"Chettinad Academy of Research and Education (Deemed University), ChettinadTamil Nadu•Deemed to be University"

"Dr. MGR Educational and Research Institute (Deemed University), ChennaiTamil Nadu•Deemed to be University"

"Saveetha University (Deemed), ChennaiTamil Nadu•Deemed to be University"

SRM Institute of Science & TechnologyTamil Nadu•Deemed to be University

"Meenakshi University (Deemed), ChennaiTamil Nadu•Deemed to be University"

"Bharath Institute of Higher Education & Research (Deemed Univ.), ChennaiTamil Nadu•Deemed to be University"

"Kaloji Narayana Rao University of Health Sciences, WarangalTelangana•State Govt University"

"Nizams Institute of Medical Sciences, HyderabadTelangana•State Autonomous"

Tripura UniversityTripura•Central University

"Swami Rama Himalayan University, DehradunUttarakhand•State Private University"

HNB Uttarakhand Medical Education UniversityUttarakhand•State Govt University

Shri Guru Ram Rai UniversityUttarakhand•State Private University

"Dr B R Ambedkar University,Agra, U.P.Uttar Pradesh•State Govt University"

Aligarh Muslim UniversityUttar Pradesh•Central University

Banaras Hindu UniversityUttar Pradesh•Central University

"King George's Medical University, LucknowUttar Pradesh•State Govt University"

"Ch. Charan Singh Universitiy, MeerutUttar Pradesh•State Govt University"

"Era University, LucknowUttar Pradesh•State Private University"

"C.S.J.M. University, KanpurUttar Pradesh•State Govt University"

Bundelkhand UniversityUttar Pradesh•State Govt University

"Teerthanker Mahaveer University, MoradabadUttar Pradesh•State Private University"

"Sanjay Gandhi Post Graduate Instt. of Medical Sciences (Statutory Autonomous) ,LucknowUttar Pradesh•State Autonomous"

"Deen Dayal Upadhyay Gorakhpur University, GorakhpurUttar Pradesh•State Govt University"

"Swami Vivekanand Subharti University, MeerutUttar Pradesh•State Private University"

"Bareilly International University, BareillyUttar Pradesh•State Private University"

"Sharda University, Greater NoidaUttar Pradesh•State Private University"

Santosh UniversityUttar Pradesh•Deemed to be University

"Mahatma Gandhi Kashi Vidyapith, VaranasiUttar Pradesh•State Govt University"

"Integral University, LucknowUttar Pradesh•State Private University"

"Dr. Ram Manohar Lohia Avadh University, FaizabadUttar Pradesh•State Govt University"

M J P Rohilkhand UniversityUttar Pradesh•State Govt University

"Rama University, KanpurUttar Pradesh•State Private University"

"Dr. Shakuntala Misra National Rehabilitation University, LucknowUttar Pradesh•State Govt University"

"Uttar Pradesh University of Medical Sciences, EtawahUttar Pradesh•State Govt University"

"West Bengal University of Health Sciences,KolkataWest Bengal•State Govt University"

National Board of Examinations in Medical SciencesDelhi•NBE

"Gandhi Institute of Technology and Management (GITAM University) Deemed, VisakhapatnamAndhra Pradesh•Deemed to be University"

"Parul University, VadodaraGujarat•State Private University"

"Atal Bihari Vajpayee Medical University, LucknowUttar Pradesh•State Govt University"

"Shri Venkateshwara University, GajraulaUttar Pradesh•State Private University"

"Statutory Autonomous, Bhopal MemorialMadhya Pradesh•Central Autonomous"

Gujarat University of Transplantation SciencesGujarat•State Govt University

"Sarvepalli Radhakrishnan University, BhopalMadhya Pradesh•State Private University"

"Bhupendra Narayan Mandal University, MadhepuraBihar•State Govt University"

"Shri Govind Guru University, GodhraGujarat•State Govt University"

"Al-Falah University, FatehpurHaryana•State Private University"

"Prof. Rajendra Singh (Rajju Bhaiya) University, PrayagrajUttar Pradesh•State Govt University"

Malla Reddy VishwavidyapeethTelangana•Deemed to be University

"Binod Bihari Mahto Koyalanchal University, DhanbadJharkhand•State Govt University"

"Dayananda Sagar University, BangaloreKarnataka•State Private University"

Sankalchand Patel UniversityGujarat•State Private University

"Dharmsinh Desai University, NadiadGujarat•State Private University"

"Noida International University, NoidaUttar Pradesh•State Private University"

"Tantia University, Sri GanganagarRajasthan•State Private University"

Dhanalakshmi Srinivasan UniversityTamil Nadu•State Private University

"Srinivas University, MangaloreKarnataka•State Private University"

"Kerala University of Health Sciences, KannurKerala•State Govt University"

"Rajiv Gandhi University, Arunanchal PradeshArunachal Pradesh•Central University"

"Hemchandracharya North Gujarat University, PatanGujarat•State Govt University"

Mizoram UniversityMizoram•Central University

"Fakir Mohan Univeristy, BalasoreOdisha•State Govt University"

"North Odisha University, Baripada, OdishaOdisha•State Govt University"

"Symbiosis International (Deemed) University, PuneMaharashtra•Deemed to be University"

"Vels Institute Of Science, Technology & Advanced Studies(VISTAS) (Deemed)Tamil Nadu•Deemed to be University"

"Ras Bihari Bose Subharti University, DehradunUttarakhand•State Private University"

"Maharishi Markandeshwar University, Sadopur, AmbalaHaryana•State Private University"

"JIS University, KolkataWest Bengal•State Private University"

"Swaminarayan University, KalolGujarat•State Private University"

Sri Sathya Sai University for Human ExcellenceKarnataka•State Private University
Anurag UniversityTelangana•State Private University
"Sri Venkateswaraa University, EttayapuramTamil Nadu•State Private University "
